路段代码,路线代码,路线名称,路段序列号,路段所在行政区域,起点名称,起点桩号,讫点名称,讫点桩号,路段技术等级,路段路面类型,路段里程,实际里程,路面宽度,路基宽度,涵洞数量,是否为共用路段,共用路段是否为长链,所共用路线代码,所共用路段序列号,是否待贯通路段,最新改建时间(年份),建成时间(年份),管养单位代码,管养单位名称,是否为城市道路路段,备注,变更原因,填报单位,填报单位代码,断链类型,国道调整前路线编号,国道调整前路线名称,原路线代码,原路线起点桩号,原路线讫点桩号,对应原路线里程,是否变化,路线编号,填报单位负责人,填表人,填表人电话,统计负责人,统计负责人电话
C5AD120112002,C5AD120112,会场路支路4,002,120112102000,操场河村,0.00,拆分点,0.17,5.四级公路,11.沥青混凝土,0.17,0.17,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AD120112,0.00,0.17,0.17,2.否,C5AD,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AE120112001,C5AE120112,双闸支路1,001,120112107000,和顺地村,0.00,和顺地村南,0.24,5.四级公路,12.水泥混凝土,0.24,0.25,4.00,6.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AE120112,0.00,0.24,0.24,2.否,C5AE,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AF120112001,C5AF120112,双闸支路2,001,120112107000,双闸村路,0.00,双闸村路,0.53,5.四级公路,12.水泥混凝土,0.53,0.57,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C5AF,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AM120112001,C5AM120112,南义心庄支路一,001,120112107000,双顺路,0.00,幸福河,1.42,5.四级公路,11.沥青混凝土,1.42,1.42,5.00,6.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AM120112,0.00,1.42,1.42,2.否,C5AM,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AN120112001,C5AN120112,南义心庄支路二,001,120112107000,双中路,0.00,南义心庄村路,0.49,5.四级公路,12.水泥混凝土,0.49,0.50,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AN120112,0.00,0.49,0.49,2.否,C5AN,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AP120112001,C5AP120112,刘家沟村路支路1,001,120112107000,刘家沟村路,0.00,村内,0.78,5.四级公路,12.水泥混凝土,0.78,0.78,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C5AP,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AR120112002,C5AR120112,东闸村路（前闸路支路二）,002,120112102000,拆分点,1.01,东环路桥,1.50,5.四级公路,11.沥青混凝土,0.49,0.56,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AR120112,1.01,1.50,0.49,2.否,C5AR,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AS120112001,C5AS120112,西官房村路,001,120112106000,咸双路,0.00,咸双路,1.04,5.四级公路,11.沥青混凝土,1.04,1.06,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AS120112,0.00,1.04,1.04,2.否,C5AS,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AT120112001,C5AT120112,西官房村路1,001,120112106000,咸双路,0.00,村内,0.20,5.四级公路,11.沥青混凝土,0.20,0.21,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AT120112,0.00,0.20,0.20,2.否,C5AT,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AU120112001,C5AU120112,西官房村路2,001,120112106000,路段003,0.00,路段001,0.14,5.四级公路,11.沥青混凝土,0.14,0.15,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AU120112,0.00,0.14,0.14,2.否,C5AU,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AV120112001,C5AV120112,西泥沽村路,001,120112106000,咸双路,0.00,村内,0.81,5.四级公路,11.沥青混凝土,0.81,0.85,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AV120112,0.00,0.81,0.81,2.否,C5AV,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AW120112001,C5AW120112,西泥沽村路1,001,120112106000,村内,0.00,路段003,0.05,5.四级公路,11.沥青混凝土,0.05,0.06,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AW120112,0.00,0.05,0.05,2.否,C5AW,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AX120112001,C5AX120112,西泥沽村路2,001,120112106000,村内,0.03,西泥沽村路,0.34,5.四级公路,11.沥青混凝土,0.32,0.31,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AX120112,0.03,0.34,0.32,2.否,C5AX,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AY120112001,C5AY120112,西泥沽村路3,001,120112106000,路段001,0.00,东泥沽交界,0.11,5.四级公路,11.沥青混凝土,0.11,0.11,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AY120112,0.00,0.11,0.11,2.否,C5AY,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AZ120112001,C5AZ120112,西泥沽村路4,001,120112106000,咸双路,0.00,村内,0.23,5.四级公路,11.沥青混凝土,0.23,0.22,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AZ120112,0.00,0.23,0.23,2.否,C5AZ,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B0120112001,C5B0120112,西泥沽村路5,001,120112106000,路段001,0.00,村内,0.03,5.四级公路,11.沥青混凝土,0.03,0.03,4.00,4.50,0,2.否,,,,2.否,,2015,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5B0120112,0.00,0.03,0.03,2.否,C5B0,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B1120112001,C5B1120112,传盛路1,001,120112102000,津岐路,0.00,传盛村路,1.78,3.二级公路,11.沥青混凝土,1.78,1.80,15.00,22.00,0,2.否,,,,2.否,2016,1983,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5B1120112,0.00,1.78,1.78,2.否,C5B1,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B2120112001,C5B2120112,小黄庄村五支路,001,120112107000,小黄庄村路,0.00,小黄庄村路,0.58,5.四级公路,12.水泥混凝土,0.58,0.58,5.00,6.00,0,2.否,,,,2.否,,2018,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5B2120112,0.00,0.58,0.58,2.否,C5B2,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B3120112001,C5B3120112,绿屏海河沿线游览路工程辛庄片区道路,001,120112104000,小辛柴路,0.00,海河南堤路,0.55,5.四级公路,11.沥青混凝土,0.55,0.57,6.00,6.50,0,2.否,,,,2.否,,2020,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5B3120112,0.00,0.55,0.55,2.否,C5B3,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B5120112001,C5B5120112,绿屏海河沿线游览路工程起步区外道路,001,120112100000,起步区中心道,0.00,海沽路,0.31,5.四级公路,11.沥青混凝土,0.31,0.33,6.00,6.50,0,2.否,,,,2.否,,2020,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5B5120112,0.00,0.31,0.31,2.否,C5B5,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B6120112001,C5B6120112,绿屏海河沿线游览路工程双桥河片区道路,001,120112106000,海河南堤路,0.00,华盛寺后侧现状路,0.53,5.四级公路,11.沥青混凝土,0.53,0.54,6.00,6.50,0,2.否,,,,2.否,,2020,121011121,津南区公路建设养护中心,2.否,,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5B6,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B7120112001,C5B7120112,军粮路,001,120112107000,双顺路,0.00,西小站村路,1.20,5.四级公路,12.水泥混凝土,1.20,1.20,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5B7,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B8120112001,C5B8120112,益友路,001,120112107000,南义心庄路延长线,0.00,南义心庄路延长线,0.92,5.四级公路,12.水泥混凝土,0.92,0.92,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5B8,孙国斌,韩静漪,02288531156,李国强,02288531156
C5B9120112001,C5B9120112,益富路,001,120112107000,南义心庄路延长线,0.00,双顺路,0.50,5.四级公路,12.水泥混凝土,0.50,0.50,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5B9,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BA120112001,C5BA120112,益诚路,001,120112107000,南义心庄路延长线,0.00,南义心庄支路一,0.95,5.四级公路,12.水泥混凝土,0.95,0.95,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BA,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BB120112001,C5BB120112,益和路,001,120112107000,南义心庄支路二,0.00,南义心庄路延长线,0.86,5.四级公路,12.水泥混凝土,0.86,0.86,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BB,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BC120112001,C5BC120112,高心沟路,001,120112107000,双顺路,0.00,毛家沟村西,1.38,5.四级公路,12.水泥混凝土,1.38,1.38,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BC,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BD120112001,C5BD120112,一区北路,001,120112107000,刘家沟村路,0.00,河沿路,0.74,5.四级公路,12.水泥混凝土,0.74,0.74,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BD,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BE120112001,C5BE120112,何家洼新双路,001,120112107000,河沿路,0.00,何家洼,0.60,5.四级公路,12.水泥混凝土,0.60,0.60,4.00,5.00,0,2.否,,,,2.否,,2009,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BE,孙国斌,韩静漪,02288531156,李国强,02288531156
C5BF120112001,C5BF120112,老左营路,001,120112108000,津岐公路,0.00,义和庄村路,0.28,5.四级公路,12.水泥混凝土,0.28,0.28,5.00,6.00,0,2.否,,,,2.否,2000,1984,121011121,津南区公路建设养护中心,2.否,新增台账,14.漏统,津南区公路建设养护中心,121011121,,,,,,,,,C5BF,孙国斌,韩静漪,02288531156,李国强,02288531156
C645120112001,C645120112,笔架街路,001,120112102000,津歧路,0.00,东环路,2.46,4.三级公路,11.沥青混凝土,2.46,2.51,9.00,10.00,0,2.否,,,,2.否,,2011,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C645,孙国斌,韩静漪,02288531156,李国强,02288531156
C686120112001,C686120112,新营路,001,120112102000,小站中心路,0.00,阀门厂,1.66,5.四级公路,12.水泥混凝土,1.66,1.66,4.00,5.00,0,2.否,,,,2.否,2002,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C686120112,0.00,1.66,1.66,2.否,C686,孙国斌,韩静漪,02288531156,李国强,02288531156
C686120112002,C686120112,新营路,002,120112102000,阀门厂,1.66,营盘圈村北,2.11,5.四级公路,11.沥青混凝土,0.46,0.46,5.00,6.00,0,2.否,,,,2.否,2002,1988,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C686120112,1.66,2.11,0.46,2.否,C686,孙国斌,韩静漪,02288531156,李国强,02288531156
C689120112001,C689120112,四道沟村路,001,120112102000,葛万路,0.00,东上路,3.78,5.四级公路,11.沥青混凝土,3.78,3.78,4.00,5.00,1,2.否,,,,2.否,2013,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C689120112,0.00,0.92,0.92,2.否,C689,孙国斌,韩静漪,02288531156,李国强,02288531156
C692120112001,C692120112,南副营村路,001,120112102000,小站中心道,0.00,东上路,1.88,5.四级公路,12.水泥混凝土,1.88,1.88,4.00,5.00,1,2.否,,,,2.否,2014,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C692120112,0.00,1.88,1.88,2.否,C692,孙国斌,韩静漪,02288531156,李国强,02288531156
C699120112001,C699120112,前闸路,001,120112102000,津岐路,0.00,拆分点,0.63,5.四级公路,12.水泥混凝土,0.63,0.63,5.00,6.00,0,2.否,,,,2.否,,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C699120112,0.00,0.63,0.63,2.否,C699,孙国斌,韩静漪,02288531156,李国强,02288531156
C699120112002,C699120112,前闸路,002,120112102000,拆分点,0.63,葛万路,2.20,5.四级公路,12.水泥混凝土,1.57,1.57,5.00,6.00,0,2.否,,,,2.否,2013,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C699120112,0.63,2.20,1.57,2.否,C699,孙国斌,韩静漪,02288531156,李国强,02288531156
C701120112001,C701120112,坨子地村路,001,120112102000,津岐路,0.00,坨子地村,0.98,5.四级公路,12.水泥混凝土,0.98,0.97,4.00,5.00,0,2.否,,,,2.否,2005,1990,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C701120112,0.00,0.53,0.53,2.否,C701,孙国斌,韩静漪,02288531156,李国强,02288531156
C702120112001,C702120112,东西庄房村路,001,120112102000,津岐路,0.00,东西庄房村,1.20,5.四级公路,12.水泥混凝土,1.20,1.20,4.00,5.00,0,2.否,,,,2.否,2014,1986,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,C702120112,0.00,0.43,0.43,2.否,C702,孙国斌,韩静漪,02288531156,李国强,02288531156
C703120112001,C703120112,迎新村路,001,120112102000,津岐路,0.00,迎新村入点,0.12,5.四级公路,11.沥青混凝土,0.12,0.12,4.00,5.00,0,2.否,,,,2.否,2012,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C703120112,0.00,0.12,0.12,2.否,C703,孙国斌,韩静漪,02288531156,李国强,02288531156
C703120112002,C703120112,迎新村路,002,120112102000,迎新村入点,0.12,迎新村,1.31,5.四级公路,11.沥青混凝土,1.19,1.19,4.00,5.00,0,2.否,,,,2.否,2012,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C703120112,0.12,1.31,1.19,2.否,C703,孙国斌,韩静漪,02288531156,李国强,02288531156
C705120112001,C705120112,会场路,001,120112102000,葛万路,0.00,会场入点,0.33,5.四级公路,12.水泥混凝土,0.33,0.33,4.00,5.00,0,2.否,,,,2.否,,1987,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C705120112,0.00,0.33,0.33,2.否,C705,孙国斌,韩静漪,02288531156,李国强,02288531156
C705120112002,C705120112,会场路,002,120112102000,会场入点,0.33,拆分点,0.99,5.四级公路,12.水泥混凝土,0.66,0.66,4.00,5.00,0,2.否,,,,2.否,2014,1987,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C705120112,0.33,0.99,0.66,2.否,C705,孙国斌,韩静漪,02288531156,李国强,02288531156
C705120112003,C705120112,会场路,003,120112102000,拆分点,0.99,操场河村,1.79,5.四级公路,12.水泥混凝土,0.80,0.80,4.00,5.00,0,2.否,,,,2.否,,1987,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C705120112,0.99,1.79,0.80,2.否,C705,孙国斌,韩静漪,02288531156,李国强,02288531156
C744120112001,C744120112,河沿路,001,120112107000,津港路,0.00,刘家沟村口,3.40,5.四级公路,11.沥青混凝土,3.40,3.39,4.00,5.00,0,2.否,,,,2.否,2014,1985,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C744,孙国斌,韩静漪,02288531156,李国强,02288531156
C744120112002,C744120112,河沿路,002,120112107000,刘家沟村口,3.40,双顺路,4.67,5.四级公路,12.水泥混凝土,1.27,1.28,4.00,5.00,0,2.否,,,,2.否,2005,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C744,孙国斌,韩静漪,02288531156,李国强,02288531156
C744120112003,C744120112,河沿路,003,120112107000,双顺路,4.67,津南区界,6.22,5.四级公路,12.水泥混凝土,1.55,1.56,6.00,7.00,0,2.否,,,,2.否,2004,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C744,孙国斌,韩静漪,02288531156,李国强,02288531156
C745120112001,C745120112,西小站村路,001,120112107000,双顺路,0.00,河沿路,1.34,5.四级公路,11.沥青混凝土,1.34,1.34,4.00,5.00,0,2.否,,,,2.否,,1985,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C745120112,0.00,0.81,0.81,2.否,C745,孙国斌,韩静漪,02288531156,李国强,02288531156
C748120112001,C748120112,幸福路,001,120112107000,津港路,0.00,水库路,2.42,4.三级公路,12.水泥混凝土,2.42,2.42,17.00,18.00,2,2.否,,,,2.否,2011,1991,121011121,津南区公路建设养护中心,2.否,台帐核实,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C748,孙国斌,韩静漪,02288531156,李国强,02288531156
C750120112001,C750120112,双闸村路,001,120112107000,葛万路,0.00,双中路,0.81,3.二级公路,12.水泥混凝土,0.81,0.81,9.00,10.00,0,2.否,,,,2.否,2004,1984,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C750120112,0.00,0.81,0.81,2.否,C750,孙国斌,韩静漪,02288531156,李国强,02288531156
C751120112001,C751120112,和顺地村路,001,120112107000,双中路,0.00,和顺地村北,1.28,5.四级公路,11.沥青混凝土,1.28,1.28,4.00,5.00,0,2.否,,,,2.否,2008,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C751,孙国斌,韩静漪,02288531156,李国强,02288531156
C752120112001,C752120112,刘家沟村路,001,120112107000,刘家沟村口,0.00,双顺路,0.86,5.四级公路,12.水泥混凝土,0.86,0.86,4.00,5.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C752,孙国斌,韩静漪,02288531156,李国强,02288531156
C752120112002,C752120112,刘家沟村路,002,120112107000,双顺路,0.86,刘家沟村西,2.09,5.四级公路,12.水泥混凝土,1.23,1.23,4.00,5.00,0,2.否,,,,2.否,2005,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C752,孙国斌,韩静漪,02288531156,李国强,02288531156
C753120112001,C753120112,毛家沟村路,001,120112107000,双闸村路,0.00,毛家沟村入点,1.32,5.四级公路,12.水泥混凝土,1.32,1.32,7.00,8.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C753,孙国斌,韩静漪,02288531156,李国强,02288531156
C753120112002,C753120112,毛家沟村路,002,120112107000,毛家沟村入点,1.32,双顺路,1.92,5.四级公路,12.水泥混凝土,0.59,0.60,7.00,8.00,0,2.否,,,,2.否,,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C753,孙国斌,韩静漪,02288531156,李国强,02288531156
C754120112001,C754120112,南义心庄村路,001,120112107000,双中路,0.00,KO+395,0.50,5.四级公路,12.水泥混凝土,0.50,0.51,4.00,5.00,0,2.否,,,,2.否,2008,1984,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C754120112,0.00,0.50,0.50,2.否,C754,孙国斌,韩静漪,02288531156,李国强,02288531156
C755120112001,C755120112,北中塘村路,001,120112107000,葛万路,0.00,刘家沟村路三,1.04,5.四级公路,12.水泥混凝土,1.04,1.05,5.00,6.00,0,2.否,,,,2.否,2013,1984,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C755,孙国斌,韩静漪,02288531156,李国强,02288531156
C774120112001,C774120112,东嘴村路,001,120112106000,袁茶路,0.00,村北,0.47,5.四级公路,12.水泥混凝土,0.47,0.48,4.00,5.00,0,2.否,,,,2.否,,1986,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C774120112,0.00,0.47,0.47,2.否,C774,孙国斌,韩静漪,02288531156,李国强,02288531156
C776120112001,C776120112,东泥沽村路,001,120112106000,东金路,0.00,东泥沽村入点,0.30,5.四级公路,12.水泥混凝土,0.30,0.30,6.00,7.00,0,2.否,,,,2.否,2002,1985,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,C776120112,0.00,0.30,0.30,2.否,C776,孙国斌,韩静漪,02288531156,李国强,02288531156
